language_id,mean_speaker_K_rarefied,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_delta50,boot_delta_lo,boot_delta_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible,language_K
61,6.683787129920356,5.394813622887625,7.977513040928951,5.205978657887074,4.408650889928496,5.96326569229076,23.08051692240044,13.16588886228849,33.733320847124745,243.0,329.0,15,10,6
62,11.453191395638834,9.002381063486036,14.870388058790931,7.8349227353857485,6.587946406527295,9.443772449115311,14.39571949128135,6.866822937347403,22.76786380943838,314.0416666666667,326.0,24,21,8
63,8.436192744082232,7.446657613430759,9.42549233672757,6.385310658217688,5.774117127719444,6.973312070407497,13.127128376297323,6.303562158918762,20.51430593351347,329.96,330.0,25,25,8
64,7.969325674774087,6.607275257695391,9.458424535677844,5.848339059041236,5.045318269674083,6.627184760015244,27.652841545817736,17.16069958672444,37.58929219107672,327.16,330.0,25,24,7
65,7.395773977188091,7.073815652714932,7.717736998692942,6.21273145527257,5.964658433383522,6.469497176645663,23.026792886430755,17.230954547939938,28.588550282503945,330.0,330.0,25,25,8
66,3.96,3.88,4.0,3.596456887444827,3.487503179274888,3.6898228160868727,44.81492607019732,36.619438884959095,51.57422009331865,329.96,330.0,25,25,4
67,16.69282263450416,15.75766321490559,17.678369493669784,11.025828716863103,10.291544644426518,11.697668053620676,10.843731502565923,6.438040540837559,15.641241154912443,328.56,330.0,25,24,17
68,10.530421097833361,9.668620428904745,11.358143434097299,7.514668944773247,6.951598771044778,8.036320928464896,12.996454731850504,6.893321059782645,19.76834624924322,329.68,330.0,25,25,11
69,8.505815519743347,7.889938846383342,9.2222008607321,6.279650097231655,5.867332935766694,6.7358351229927065,25.73776246579563,18.783805252110596,32.48442353682266,319.12,330.0,25,21,8
70,15.908380431161461,15.908380431161461,15.908380431161461,5.745324361556867,5.151712357342185,6.405434043242312,16.089088916796644,4.649415756424516,32.59096862459534,202.24,200.0,25,1,9
71,8.902890752790569,8.461326798347198,9.330195453923835,6.203024010244056,5.803188412120608,6.5942054406644495,3.501041871782805,0.7766949200350756,7.637000266096844,329.96,330.0,25,25,10
72,9.947435759950627,8.940590232735186,11.03482404055934,6.754222718823322,6.292152719360663,7.225360292741441,21.052466400349918,13.256963066052272,28.97368158704637,327.64,330.0,25,23,11
73,5.102379704312089,4.55268375803402,5.713683088612369,4.1096618765768085,3.657266248209551,4.589444732020474,35.604374189213466,20.494902841958194,54.049012455203616,330.0,330.0,18,18,6
74,4.0,4.0,4.0,3.9499101627674507,3.9308866545662786,3.9684025487324552,44.54862209433763,38.166238941221124,50.419520817684635,329.48,330.0,25,25,4
75,7.636418605534601,7.239691819650743,8.070900403962566,6.237052137148959,5.870657789313301,6.593601365848742,14.89254489599849,8.42202792762156,22.26352511603053,329.44,330.0,25,25,8
76,7.543291013021254,6.785036370240106,8.25906035637715,6.0701065824192275,5.526861030553465,6.555339225120138,28.55379429393617,22.76701493292252,34.340510919322035,329.88,330.0,25,25,8
