language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,n_observed_chips,n_missing_chips,n_valid_pairs,H_label_MillerMadow,effective_colour_categories,rarefaction_target,rarefaction_eligible
85,20,85:20,6,6.0,330,0,54285,1.4723392946670564,4.3594211930774875,313,True
85,21,85:21,5,5.0,330,0,54285,1.4269700423468477,4.166057072541541,313,True
85,22,85:22,7,6.948484841262468,330,0,54285,1.5772363472371458,4.841556922662029,313,True
85,23,85:23,7,6.999999999992409,330,0,54285,1.6581672782105068,5.249680818139586,313,True
85,24,85:24,7,7.0,330,0,54285,1.6437268410962054,5.174417855309885,313,True
85,25,85:25,7,6.948484848484849,330,0,54285,1.4371717512115296,4.208775503917015,313,True
86,1,86:1,15,14.94586006822543,330,0,54285,2.2317079925586305,9.315763754233915,313,True
86,2,86:2,12,11.999885428523188,330,0,54285,2.2688017453148897,9.667809372834633,313,True
86,3,86:3,16,15.996815286624203,322,8,51681,2.3526107683308486,10.512980884620086,313,True
86,4,86:4,15,14.842834482257066,330,0,54285,2.1800133960509243,8.846424765083773,313,True
86,5,86:5,16,15.943354772348105,330,0,54285,2.2788429311625715,9.76537465932052,313,True
86,6,86:6,15,14.851875512005956,329,1,53956,2.183604628595403,8.878251447906402,313,True
86,7,86:7,9,8.997380132408674,330,0,54285,1.8103902618983936,6.112832572429945,313,True
86,8,86:8,15,14.949044590898584,329,1,53956,2.2540503915844754,9.52624281326906,313,True
86,9,86:9,15,14.951272141664695,329,1,53956,2.1941055791011324,8.971972747081516,313,True
86,10,86:10,9,8.997380132408674,330,0,54285,1.8042274759672363,6.075276338234107,313,True
86,11,86:11,15,14.945860068470422,330,0,54285,2.2534731159384584,9.52074513228626,313,True
86,12,86:12,9,8.949143746756606,329,1,53956,1.7927719517291694,6.006077971407311,313,True
86,13,86:13,13,12.896964596163034,330,0,54285,2.147233614369133,8.561142187480566,313,True
86,14,86:14,15,14.94836987809074,330,0,54285,2.197295519408808,9.000638501301331,313,True
86,15,86:15,13,12.896964596163034,330,0,54285,2.145347231405915,8.54500781729737,313,True
86,16,86:16,15,14.94585988008665,330,0,54285,2.2537707991033167,9.523579719712593,313,True
86,17,86:17,9,8.94837027701584,330,0,54285,1.8019696532446268,6.061574914784659,313,True
86,18,86:18,15,14.945860068470422,330,0,54285,2.2408810293932304,9.401610735090188,313,True
86,19,86:19,9,8.94837027701584,330,0,54285,1.7997619401451523,6.0482074576263924,313,True
86,20,86:20,15,14.898283696452449,329,1,53956,2.1732227029073963,8.786554918033953,313,True
86,21,86:21,9,8.94837027701584,330,0,54285,1.8021515320732682,6.062677487194132,313,True
86,22,86:22,15,14.891954199524346,330,0,54285,2.1777929124993514,8.826803217127004,313,True
86,23,86:23,13,12.914370882239002,327,3,53301,2.134818444356484,8.455511221714817,313,True
86,24,86:24,9,8.997380132408674,330,0,54285,1.8075209390536011,6.095318021750131,313,True
86,25,86:25,15,14.945860068470422,330,0,54285,2.2414696084581887,9.407145955143275,313,True
87,1,87:1,8,7.999999804393845,330,0,54285,1.8948799650199053,6.651749914041902,313,True
87,2,87:2,8,,183,147,16653,1.8235206558799444,6.1936257347011425,313,False
87,3,87:3,8,,168,162,14028,1.8318010731791552,6.245124461602312,313,False
87,4,87:4,7,,166,164,13695,1.897570357048409,6.669669823968647,313,False
87,5,87:5,6,6.0,330,0,54285,1.7489046329058149,5.74830272460396,313,True
87,6,87:6,6,6.0,330,0,54285,1.714242914042438,5.55247022344374,313,True
87,7,87:7,6,6.0,330,0,54285,1.7641532675432203,5.836628202655608,313,True
87,8,87:8,6,5.999999992777619,330,0,54285,1.6265950621441643,5.086525894890607,313,True
