language_id,language_K,mean_rarefied_speaker_K,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_information_efficiency,boot_info_lo,boot_info_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible
85,7.0,6.747221767102373,6.4312926632537515,7.064961279093583,4.635398451197914,4.48221849921334,4.790793973118383,0.3414073269693246,0.3294185590113076,0.3538060166226698,330.0,330.0,25,25
86,13.0,12.979907407668316,11.908847272390103,14.009038752808129,8.319020984518556,7.724299624614879,8.872369491089831,0.34701927628244184,0.3318538388011214,0.3615009180330052,329.36,330.0,25,25
87,7.0,6.399618260964533,6.040784186179151,6.758687809766983,5.673694912406754,5.400441290975234,5.958384777448756,0.34705071675244425,0.32670845450938807,0.3718057057913656,310.92,330.0,25,22
88,8.0,9.86735942038453,8.928838395149238,10.978664130432424,7.0225849145630805,6.649664409397805,7.405485602759728,0.38975075285606264,0.3732543610956351,0.4064101023093961,311.0833333333333,328.0,24,21
89,6.0,7.226623105764937,6.6112937837865955,7.8450063329963085,5.784698677700994,5.4345486866053205,6.158495880752384,0.37311414052852343,0.359541052638513,0.3873649806451291,314.61538461538464,329.0,26,21
90,7.0,6.77122486028331,6.519172558150986,6.986450277220639,5.479292893094833,5.249374128084095,5.71362493021141,0.35614101987546043,0.33580159388037834,0.3755765143951296,326.4,330.0,25,23
91,14.0,13.798007256957414,11.949640374621948,16.17460478899312,8.546768918416529,7.192816112248423,10.037320540682082,0.41801679809069114,0.3916232380774589,0.44518618298878343,318.0,330.0,8,7
92,11.0,7.49383968552101,6.333333333333331,8.660506352185218,6.75083204738233,5.462238334232736,8.197020148580958,0.3827420311371081,0.35440156335473877,0.41284636745982883,298.55555555555554,320.0,9,6
93,7.0,6.99606823193481,6.25,7.746066331024556,5.27068685470723,4.746692880527642,5.806610739450627,0.33325160939965404,0.3110181929976364,0.35200075333903313,311.3333333333333,320.0,6,4
94,7.0,6.47979479724313,6.1596944757319685,6.839790023081534,5.848902831174337,5.5366334006140425,6.179767371080757,0.3742055546781392,0.35580716177909794,0.3923961130293456,330.0,330.0,25,25
95,8.0,9.01287550858483,8.423282071067343,9.601280454468235,7.02609530616445,6.684843674600878,7.380322844120263,0.38545976569113,0.3701455901575743,0.39959350770557883,325.9230769230769,330.0,26,25
96,7.0,5.957045957617456,5.798523076912392,6.075569230747663,4.947065198433648,4.798357412050317,5.067544694415533,0.32441830115452047,0.31000932845723983,0.3378341742662615,329.56,330.0,25,25
97,7.0,5.904437751224358,5.0672069806631,6.822119464331084,4.141823399392157,3.776926291658075,4.529564243896553,0.19867220233993949,0.16657026269285333,0.22776841672180967,329.92,330.0,25,25
98,9.0,8.776919293203944,8.255154165588367,9.344963350454147,6.575055767048327,6.177580895971455,6.979931315611955,0.377899224178538,0.35973235965451106,0.3967034519373921,329.92,330.0,25,25
99,5.0,4.713378684807256,4.285714285714286,4.999092970521542,3.6731852820540265,3.4507480222432214,3.8874709664442415,0.2942362957739115,0.2685695333470098,0.31673964977438657,318.68,330.0,25,22
100,6.0,5.673508162523713,5.353605875856884,5.91547332240646,4.674484218140709,4.312062599297214,5.011550660995836,0.3163802108576631,0.2937828329890588,0.33806644298712213,329.96,330.0,25,25
