language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,H_physical_bin_observed_MillerMadow,H_physical_bin_full,H_label_MillerMadow,I_physical_label_MillerMadow,information_efficiency,effective_colour_categories,n_chips,n_observed_chips,n_missing_chips,n_rarefaction_eligible
49,25,49:25,6,5.997494703877682,2.9648905455799617,2.9361026667920824,1.506402602320819,0.7029412328560796,0.23941302898106653,4.510475599191349,330,330,0,True
50,1,50:1,3,3.0,2.9648905455799617,2.9361026667920824,1.0343175721775926,0.6867063572785237,0.23388363256003003,2.8131857841651255,330,330,0,True
50,2,50:2,5,5.0,2.9646108529195274,2.9361026667920824,1.5621950490249326,1.0271688079765293,0.3498409029064335,4.769278564036826,330,329,1,True
50,3,50:3,5,5.0,2.9648905455799617,2.9361026667920824,1.468909767944144,1.0828315802982689,0.3687989498954904,4.344496049317777,330,330,0,True
50,4,50:4,6,5.999885428530992,2.9648905455799617,2.9361026667920824,1.615515809349653,1.0514810867807787,0.35812136226476116,5.030482024041832,330,330,0,True
50,5,50:5,7,6.949143746756606,2.9672967032613595,2.9361026667920824,1.468184798760901,0.9893804084273234,0.33697064466355925,4.341347564980257,330,329,1,True
50,6,50:6,6,5.9542682926829285,2.9643387216403037,2.9361026667920824,1.5686905399086595,0.8682123616139946,0.295702317031912,4.800358198939702,330,328,2,True
50,7,50:7,7,6.999997019280337,2.9657984752271718,2.9361026667920824,1.5856610687091166,1.0546510622358152,0.3592010164236193,4.8825179917547485,330,328,2,True
50,8,50:8,7,6.945979552362531,2.9648905455799617,2.9361026667920824,1.5098236246100412,1.088392109363799,0.3706927968404289,4.525932460810427,330,330,0,True
50,9,50:9,7,6.999999999999788,2.9648905455799617,2.9361026667920824,1.784163301712432,0.9480492043740821,0.3228937513312158,5.9545956627079075,330,330,0,True
50,10,50:10,5,4.999885428530992,2.9648905455799617,2.9361026667920824,1.3951267578110784,0.7639123079752107,0.2601790177895392,4.03548606959422,330,330,0,True
51,1,51:1,7,6.948484848484849,2.9648905455799617,2.9361026667920824,1.7940489053585194,1.206647858685509,0.4109692322182536,6.013752353343165,330,330,0,True
51,2,51:2,8,7.997494703877677,2.9648905455799617,2.9361026667920824,1.8960033118972646,0.8532292076979945,0.29059924141897014,6.659226335057705,330,330,0,True
51,3,51:3,11,10.999999797171458,2.9648905455799617,2.9361026667920824,2.111402831657612,0.8702044318875886,0.2963807913564391,8.259820298425021,330,330,0,True
51,4,51:4,12,11.90050773085095,2.9641907751940266,2.9361026667920824,2.145186038300464,1.1045441901735384,0.37619399439473206,8.543630531958629,330,329,1,True
51,5,51:5,9,8.94848484848485,2.9648905455799617,2.9361026667920824,2.0578720102074115,1.141848427441562,0.3888993529947367,7.829291418666515,330,330,0,True
51,6,51:6,12,11.96202531645569,2.959709436403423,2.9361026667920824,1.9978710314503403,1.3547175166144587,0.46139991354409676,7.37334176448171,330,317,13,True
51,7,51:7,6,5.948370277015841,2.9648905455799617,2.9361026667920824,1.3897409210268676,0.7269807335347027,0.24760058350717856,4.013810024495767,330,330,0,True
51,8,51:8,6,6.0,2.963638833686447,2.9361026667920824,1.7444472240594757,0.9774280643489881,0.3328998251334662,5.7227372094934905,330,327,3,True
